txn_id,txn_time_raw,property_code,outlet_name,guest_ref,net_amount_raw,tax_amount_raw,tip_amount_raw,payment_mode,items_count_raw,line_items_raw,source_file,ingested_at
T-853917,2026-03-03 15:34:16,soudah-01,Summit Cafe, G-35530 ,SAR 893,VAT: SAR 134,SAR8.80,CARD,3,"[{""sku"": ""SKU078"", ""qty"": 1, ""price"": 49.79}, {""sku"": ""SKU112"", ""qty"": 1, ""price"": 113.85}, {""sku"": ""SKU018"", ""qty"": 2, ""price"": 79.91}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-395976,2026-03-26T15:57:29Z,SP01,summit café,NULL,369.68,SAR 55.45,0.00,CARD,5,"[{""sku"": ""SKU134"", ""qty"": 2, ""price"": 86.46}, {""sku"": ""SKU119"", ""qty"": 2, ""price"": 87.78}, {""sku"": ""SKU119"", ""qty"": 1, ""price"": 47.26}, {""sku"": ""SKU083"", ""qty"": 1, ""price"": 84.12}, {""sku"": ""SKU173"", ""qty"": 2, ""price"": 51.21}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-602971,23-02-2026 08:27 PM,SP01,Spa Lounge, G-57458 ,SAR 534,SAR 80,,CARD,3,"[{""sku"": ""SKU069"", ""qty"": 2, ""price"": 56.93}, {""sku"": ""SKU157"", ""qty"": 2, ""price"": 41.9}, {""sku"": ""SKU181"", ""qty"": 1, ""price"": 16.69}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-636962,2026/03/10 19:28,SP01,Peak Restaurant,,SAR 733.80,SAR 110.07,SAR9.95,Apple Pay,3,"[{""sku"": ""SKU065"", ""qty"": 2, ""price"": 29.79}, {""sku"": ""SKU063"", ""qty"": 2, ""price"": 59.26}, {""sku"": ""SKU004"", ""qty"": 2, ""price"": 32.48}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-855076,2026-02-11T23:42:10Z,SP01,Summit Cafe,,SAR 738,VAT: SAR 111,SAR 39,Apple Pay,1,"[{""sku"": ""SKU042"", ""qty"": 2, ""price"": 58.11}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-502886,2026-02-01 20:14:21,SP01,Peak Restaurant,G-62100,SAR 685.70,SAR102.85,43.94,cash,2,"[{""sku"": ""SKU126"", ""qty"": 1, ""price"": 44.6}, {""sku"": ""SKU170"", ""qty"": 3, ""price"": 93.44}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-405339,2026-02-22 00:16:59 +0000,soudah-01,Retail Store,NA,VAT: 316.46,47.47,SAR 44,CARD,4,"[{""sku"": ""SKU100"", ""qty"": 1, ""price"": 38.17}, {""sku"": ""SKU022"", ""qty"": 1, ""price"": 39.24}, {""sku"": ""SKU090"", ""qty"": 1, ""price"": 56.73}, {""sku"": ""SKU169"", ""qty"": 1, ""price"": 93.14}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-335489,2026-02-22T21:18:55Z,SP01,Retail Store,G73532,816.47,sar122.47,,Card,4,"[{""sku"": ""SKU179"", ""qty"": 3, ""price"": 115.74}, {""sku"": ""SKU069"", ""qty"": 1, ""price"": 15.34}, {""sku"": ""SKU040"", ""qty"": 2, ""price"": 73.12}, {""sku"": ""SKU061"", ""qty"": 1, ""price"": 97.6}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-188835,13-03-2026 03:57 PM,SP01,Summit Cafe,,SAR746.33,SAR 112,0,Card,two,,pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-842251,2026/02/27 12:31,SOUDAH_1,Retail Store,G60455,sar 124.32,sar18.65,0,Card,1,"[{""sku"": ""SKU023"", ""qty"": 3, ""price"": 30.88}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-579828,15-03-2026 03:11 PM,SP01,Summit Cafe,,VAT: 400.13,sar60.02,0,cash,three,"[{""sku"": ""SKU003"", ""qty"": 1, ""price"": 10.88}, {""sku"": ""SKU032"", ""qty"": 3, ""price"": 74.74}, {""sku"": ""SKU171"", ""qty"": 3, ""price"": 11.68}, {""sku"": ""SKU193"", ""qty"": 2, ""price"": 36.47}, {""sku"": ""SKU128"", ""qty"": 2, ""price"": 25.01}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-952296,2026-02-11T11:55:32Z,SP01,Summit Cafe,G-76478,sar330.71,49.61,,Card,NULL,"[{""sku"": ""SKU038"", ""qty"": 1, ""price"": 110.3}, {""sku"": ""SKU095"", ""qty"": 3, ""price"": 33.3}, {""sku"": ""SKU113"", ""qty"": 1, ""price"": 23.69}, {""sku"": ""SKU040"", ""qty"": 1, ""price"": 57.13}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-637087,2026-03-12T20:34:26Z,soudah-01,Summit Cafe,g-73419,SAR 314.99,SAR 47,,CARD,3,"[{""sku"": ""SKU144"", ""qty"": 3, ""price"": 54.96}, {""sku"": ""SKU095"", ""qty"": 3, ""price"": 108.85}, {""sku"": ""SKU065"", ""qty"": 1, ""price"": 57.6}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-555004,15-02-2026 09:37 PM,SP01,Summit Cafe,,637.21,SAR 96,39.53,Card,1,"[{""sku"": ""SKU121"", ""qty"": 2, ""price"": 112.05}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-497616,01-04-2026 01:09 AM,soudah-01,Spa Lounge,NA,sar 621.32,SAR 93,VAT: sar 16.43,Apple Pay,4,"[{""sku"": ""SKU109"", ""qty"": 1, ""price"": 102.67}, {""sku"": ""SKU144"", ""qty"": 2, ""price"": 16.81}, {""sku"": ""SKU165"", ""qty"": 3, ""price"": 79.04}, {""sku"": ""SKU040"", ""qty"": 2, ""price"": 10.94}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-279892,2026-02-07 21:48:24,SOUDAH_1,Retail Store,NULL,413.13,SAR61.97,0.00,CARD,5,"[{""sku"": ""SKU127"", ""qty"": 3, ""price"": 83.53}, {""sku"": ""SKU167"", ""qty"": 2, ""price"": 56.4}, {""sku"": ""SKU016"", ""qty"": 3, ""price"": 111.13}, {""sku"": ""SKU143"", ""qty"": 3, ""price"": 97.8}, {""sku"": ""SKU105"", ""qty"": 2, ""price"": 66.49}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-956357,2026/03/24 06:40,SP01,Summit Cafe,,SAR 557.36,83.60,46.09,Card,5,"[{""sku"": ""SKU172"", ""qty"": 2, ""price"": 110.5}, {""sku"": ""SKU042"", ""qty"": 3, ""price"": 108.68}, {""sku"": ""SKU090"", ""qty"": 2, ""price"": 88.17}, {""sku"": ""SKU174"", ""qty"": 3, ""price"": 55.6}, {""sku"": ""SKU028"", ""qty"": 1, ""price"": 94.9}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-600260,17-02-2026 05:46 PM,SP01,summit café,NULL,SAR107.79,SAR16.17,SAR 22,Apple Pay,5,"[{""sku"": ""SKU023"", ""qty"": 2, ""price"": 52.33}, {""sku"": ""SKU143"", ""qty"": 1, ""price"": 68.79}, {""sku"": ""SKU081"", ""qty"": 1, ""price"": 49.35}, {""sku"": ""SKU177"", ""qty"": 1, ""price"": 63.2}, {""sku"": ""SKU194"", ""qty"": 3, ""price"": 108.86}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-291746,27-02-2026 07:06 PM +0530,SP01,Summit Cafe,NA,SR757.47,113.62,,Card,1,"[{""sku"": ""SKU050"", ""qty"": 3, ""price"": 81.0}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-623842,2026-03-01 16:15:41,SP01,summit café,,SAR 222,SAR 33.32,0.00,Apple Pay,NA,"[{""sku"": ""SKU045"", ""qty"": 3, ""price"": 44.36}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-988938,2026-03-25T09:23:38Z,SP01,Summit Cafe,NULL,697.90,104.68,39.72,Apple Pay,3,"[{""sku"": ""SKU167"", ""qty"": 3, ""price"": 75.35}, {""sku"": ""SKU158"", ""qty"": 2, ""price"": 56.88}, {""sku"": ""SKU151"", ""qty"": 2, ""price"": 49.46}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-824803,2026-03-03T06:22:28Z,soudah-01,Peak Restaurant,NA,820.08,SR 123.01,0.00,cash,4,"[{""sku"": ""SKU044"", ""qty"": 1, ""price"": 14.13}, {""sku"": ""SKU052"", ""qty"": 3, ""price"": 100.94}, {""sku"": ""SKU030"", ""qty"": 3, ""price"": 24.05}, {""sku"": ""SKU045"", ""qty"": 1, ""price"": 71.3}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-908484,2026-03-01 10:58:00 +0000,SOUDAH_1,Peak Restaurant,,S.A.R279.44,41.92,5.99,Apple Pay,2,"[{""sku"": ""SKU150"", ""qty"": 2, ""price"": 81.92}, {""sku"": ""SKU095"", ""qty"": 1, ""price"": 72.53}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-206220,2026-03-21 13:44:21,SOUDAH_1,Retail Store,,SAR 533.04,SAR 79.96,SAR 9.39,Card,5,"[{""sku"": ""SKU045"", ""qty"": 3, ""price"": 33.03}, {""sku"": ""SKU134"", ""qty"": 2, ""price"": 64.38}, {""sku"": ""SKU177"", ""qty"": 2, ""price"": 62.45}, {""sku"": ""SKU185"", ""qty"": 2, ""price"": 57.28}, {""sku"": ""SKU021"", ""qty"": 1, ""price"": 27.95}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-808924,03-02-2026 09:24 AM,soudah-01,Spa Lounge,G-98548,SAR229.35,SAR34.40,,cash,3,"[{""sku"": ""SKU011"", ""qty"": 1, ""price"": 90.57}, {""sku"": ""SKU045"", ""qty"": 2, ""price"": 89.96}, {""sku"": ""SKU179"", ""qty"": 1, ""price"": 88.66}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-943413,2026-02-14 17:46:39,soudah-01,Peak Restaurant, G-35971 ,821.98,SAR 123.30,0.00,Apple Pay,5,"[{""sku"": ""SKU080"", ""qty"": 2, ""price"": 47.5}, {""sku"": ""SKU068"", ""qty"": 2, ""price"": 38.92}, {""sku"": ""SKU022"", ""qty"": 1, ""price"": 71.96}, {""sku"": ""SKU064"", ""qty"": 1, ""price"": 105.87}, {""sku"": ""SKU101"", ""qty"": 3, ""price"": 6.0}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-299839,2026-03-02T05:59:56Z,SP01,Retail Store,G57426,SAR413.01,61.95,VAT: 17.08,Apple Pay,,"[{""sku"": ""SKU164"", ""qty"": 2, ""price"": 99.05}, {""sku"": ""SKU103"", ""qty"": 1, ""price"": 43.86}, {""sku"": ""SKU141"", ""qty"": 3, ""price"": 110.36}, {""sku"": ""SKU010"", ""qty"": 2, ""price"": 30.0}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-501564,2026-03-05 20:08:39,SOUDAH_1,Spa Lounge,G-73897,SAR 247.52,SAR 37,SAR20.84,Card,2,"[{""sku"": ""SKU192"", ""qty"": 2, ""price"": 110.1}, {""sku"": ""SKU151"", ""qty"": 3, ""price"": 107.48}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-062748,2026-02-13T07:50:40Z,soudah-01,Summit Cafe, G-14194 ,781.22,SAR 117,SAR1.72,CARD,3,"[{""sku"": ""SKU129"", ""qty"": 3, ""price"": 18.85}, {""sku"": ""SKU042"", ""qty"": 1, ""price"": 38.39}, {""sku"": ""SKU198"", ""qty"": 1, ""price"": 14.69}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-299853,2026-03-14 23:21:38,SOUDAH_1,summit café,NULL,SAR 629,SAR 94,0.00,Card,4,"[{""sku"": ""SKU198"", ""qty"": 1, ""price"": 87.4}, {""sku"": ""SKU117"", ""qty"": 3, ""price"": 116.68}, {""sku"": ""SKU097"", ""qty"": 3, ""price"": 79.23}, {""sku"": ""SKU135"", ""qty"": 3, ""price"": 42.71}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-155769,2026-02-25 19:44:40,SP01,Peak Restaurant,G-88263,18.35,2.75,S.A.R27.62,Apple Pay,3,"[{""sku"": ""SKU164"", ""qty"": 3, ""price"": 97.82}, {""sku"": ""SKU151"", ""qty"": 2, ""price"": 69.28}, {""sku"": ""SKU003"", ""qty"": 2, ""price"": 75.03}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-636609,2026-03-05T03:23:02Z,SP-01,Spa Lounge,g-98406,120.40,SAR 18.06,SAR 27,cash,four,"[{""sku"": ""SKU066"", ""qty"": 1, ""price"": 90.25}, {""sku"": ""SKU176"", ""qty"": 1, ""price"": 67.95}, {""sku"": ""SKU097"", ""qty"": 2, ""price"": 25.86}, {""sku"": ""SKU019"", ""qty"": 2, ""price"": 48.75}, {""sku"": ""SKU038"", ""qty"": 1, ""price"": 15.82}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-197937,2026/03/07 13:25,soudah-01,Summit Cafe,,SAR 519,77.91,0.00,Apple Pay,4,"[{""sku"": ""SKU006"", ""qty"": 2, ""price"": 7.62}, {""sku"": ""SKU136"", ""qty"": 1, ""price"": 47.33}, {""sku"": ""SKU178"", ""qty"": 1, ""price"": 43.52}, {""sku"": ""SKU159"", ""qty"": 2, ""price"": 97.5}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-444689,2026-03-28 15:50:19,SP01,Retail Store,G-37367,SAR 282,SAR 42.25,SAR17.44,Card,1,"[{""sku"": ""SKU114"", ""qty"": 1, ""price"": 112.07}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-644125,2026-03-29 19:11:00,SP01,Retail Store,,137.99,SAR20.70,VAT: 39.07,Apple Pay,3,"[{""sku"": ""SKU022"", ""qty"": 2, ""price"": 43.47}, {""sku"": ""SKU185"", ""qty"": 2, ""price"": 43.96}, {""sku"": ""SKU078"", ""qty"": 1, ""price"": 100.15}",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-309231,01-04-2026 11:17 AM,SP01,Retail Store,,564.15,84.62,SAR 12.85,Apple Pay,4,"[{""sku"": ""SKU188"", ""qty"": 2, ""price"": 47.21}, {""sku"": ""SKU065"", ""qty"": 3, ""price"": 89.12}, {""sku"": ""SKU119"", ""qty"": 1, ""price"": 41.91}, {""sku"": ""SKU185"", ""qty"": 3, ""price"": 28.35}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-955618,2026/03/17 09:33,soudah-01,Retail Store,G-22498,sar839.87,125.98,9.01,cash,3,"[{""sku"": ""SKU059"", ""qty"": 3, ""price"": 37.6}, {""sku"": ""SKU184"", ""qty"": 1, ""price"": 59.34}, {""sku"": ""SKU090"", ""qty"": 1, ""price"": 34.1}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-525835,2026-03-20T08:41:22Z,soudah-01,Spa Lounge,NA,139.21,SAR 20.88,SAR 26,Apple Pay,one,"[{""sku"": ""SKU099"", ""qty"": 2, ""price"": 56.42}, {""sku"": ""SKU199"", ""qty"": 2, ""price"": 89.41}, {""sku"": ""SKU149"", ""qty"": 1, ""price"": 15.26}",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-750159,2026-03-07 21:05:21,SP01,Retail Store,NA,SAR 795,119.23,0,CARD,3,"[{""sku"": ""SKU127"", ""qty"": 1, ""price"": 86.67}, {""sku"": ""SKU048"", ""qty"": 1, ""price"": 39.7}, {""sku"": ""SKU135"", ""qty"": 1, ""price"": 116.52}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-640145,06-02-2026 08:57 PM,SP01,Summit Cafe, G-49457 ,SAR83.87,VAT: SAR12.58,SAR 15,Apple Pay,2,"[{""sku"": ""SKU095"", ""qty"": 1, ""price"": 116.63}, {""sku"": ""SKU038"", ""qty"": 2, ""price"": 86.97}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-532951,2026-03-09 00:29:43,SP01,Peak Restaurant,NULL,SAR 619.95,92.99,0.00,Apple Pay,5,"[{""sku"": ""SKU127"", ""qty"": 3, ""price"": 5.37}, {""sku"": ""SKU036"", ""qty"": 1, ""price"": 17.95}, {""sku"": ""SKU111"", ""qty"": 3, ""price"": 75.16}, {""sku"": ""SKU087"", ""qty"": 1, ""price"": 107.54}, {""sku"": ""SKU148"", ""qty"": 3, ""price"": 57.38}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-399566,2026/02/16 21:54,SP01,Peak Restaurant,NA,SAR 723,108.50,18.67,cash,3,,pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-009676,31-03-2026 03:17 AM,SP01,Spa Lounge, G-59905 ,SAR 446,SAR66.90,16.23,cash,1,"[{""sku"": ""SKU190"", ""qty"": 3, ""price"": 52.73}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-903031,2026-03-26 07:37:19,SP01,Spa Lounge,G57608,SAR 47,7.07,,CARD,5,"[{""sku"": ""SKU032"", ""qty"": 2, ""price"": 47.07}, {""sku"": ""SKU136"", ""qty"": 2, ""price"": 41.45}, {""sku"": ""SKU154"", ""qty"": 1, ""price"": 97.95}, {""sku"": ""SKU181"", ""qty"": 3, ""price"": 36.89}, {""sku"": ""SKU047"", ""qty"": 3, ""price"": 32.6}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-082699,2026/03/26 08:57,SP-01,summit café,,sar634.48,sar95.17,sar 2.73,CARD,2,"[{""sku"": ""SKU118"", ""qty"": 1, ""price"": 78.17}, {""sku"": ""SKU131"", ""qty"": 2, ""price"": 55.6}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-106411,2026-02-17T01:39:51Z,SP01,Peak Restaurant,G-25620,SAR 535,80.28,,Apple Pay,4,"[{""sku"": ""SKU168"", ""qty"": 2, ""price"": 66.85}, {""sku"": ""SKU033"", ""qty"": 2, ""price"": 18.88}, {""sku"": ""SKU030"", ""qty"": 2, ""price"": 117.39}, {""sku"": ""SKU173"", ""qty"": 2, ""price"": 74.57}",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-729381,10-02-2026 05:25 PM,SP01,Retail Store,NULL,SAR 753.76,113.06,SAR 29,Apple Pay,4,"[{""sku"": ""SKU061"", ""qty"": 1, ""price"": 45.16}, {""sku"": ""SKU164"", ""qty"": 2, ""price"": 10.83}, {""sku"": ""SKU105"", ""qty"": 2, ""price"": 97.63}, {""sku"": ""SKU123"", ""qty"": 3, ""price"": 82.64}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-666044,2026/03/18 15:53,SP-01,Summit Cafe,NA,641.89,96.28,,Card,2,"[{""sku"": ""SKU151"", ""qty"": 3, ""price"": 20.98}, {""sku"": ""SKU075"", ""qty"": 2, ""price"": 43.86}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-493713,2026-02-25T13:23:03Z,soudah-01,Spa Lounge,NA,122.22,SAR 18,SAR 13,Card,4,"[{""sku"": ""SKU129"", ""qty"": 3, ""price"": 116.75}, {""sku"": ""SKU154"", ""qty"": 1, ""price"": 5.34}, {""sku"": ""SKU070"", ""qty"": 1, ""price"": 10.08}, {""sku"": ""SKU041"", ""qty"": 1, ""price"": 6.53}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-663060,2026-02-26T16:28:15Z,SP01,Summit Cafe,NA,289.71,43.46,20.36,Apple Pay,4,"[{""sku"": ""SKU046"", ""qty"": 1, ""price"": 20.98}, {""sku"": ""SKU136"", ""qty"": 2, ""price"": 36.46}, {""sku"": ""SKU126"", ""qty"": 2, ""price"": 87.58}, {""sku"": ""SKU174"", ""qty"": 3, ""price"": 60.96}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-663880,2026/03/15 07:14,SP01,Peak Restaurant,NULL,SAR42.44,6.37,,cash,2,"[{""sku"": ""SKU061"", ""qty"": 2, ""price"": 62.51}, {""sku"": ""SKU002"", ""qty"": 1, ""price"": 98.07}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-759019,2026/03/02 18:50,SOUDAH_1,Peak Restaurant,g-01604,517.19,77.58,0,CARD,5,"[{""sku"": ""SKU163"", ""qty"": 2, ""price"": 92.41}, {""sku"": ""SKU177"", ""qty"": 3, ""price"": 103.43}, {""sku"": ""SKU115"", ""qty"": 1, ""price"": 108.06}, {""sku"": ""SKU016"", ""qty"": 3, ""price"": 20.57}, {""sku"": ""SKU074"", ""qty"": 3, ""price"": 48.72}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-673868,2026-03-19 05:17:49,SP01,Retail Store,,SAR 788,sar 118.21,0,CARD,1,"[{""sku"": ""SKU142"", ""qty"": 2, ""price"": 30.99}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-864309,2026-02-28T13:47:05Z,SP01,summit café,NA,60.97,SR9.14,2.91,CARD,2,"[{""sku"": ""SKU103"", ""qty"": 1, ""price"": 83.23}, {""sku"": ""SKU010"", ""qty"": 1, ""price"": 48.28}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-349457,2026-03-17T16:29:41Z,soudah-01,Spa Lounge,,SAR683.52,102.53,SAR 25.65,Card,1,"[{""sku"": ""SKU003"", ""qty"": 3, ""price"": 10.61}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-580171,2026/03/30 17:14,SP01,Summit Cafe,g-34360,636.56,SAR95.48,0.00,Card,3,"[{""sku"": ""SKU058"", ""qty"": 1, ""price"": 37.86}, {""sku"": ""SKU147"", ""qty"": 2, ""price"": 119.95}, {""sku"": ""SKU133"", ""qty"": 3, ""price"": 31.93}",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-179226,2026-03-16T20:31:00Z,SP-01,Retail Store,G88661,827.98,SAR 124,26.78,Apple Pay,3,"[{""sku"": ""SKU074"", ""qty"": 1, ""price"": 72.65}, {""sku"": ""SKU177"", ""qty"": 3, ""price"": 32.43}, {""sku"": ""SKU166"", ""qty"": 3, ""price"": 69.17}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-591577,2026/02/24 23:14,SP01,Summit Cafe, G-45504 ,SAR558.50,SAR 84,6.02,CARD,4,"[{""sku"": ""SKU008"", ""qty"": 1, ""price"": 14.69}, {""sku"": ""SKU130"", ""qty"": 1, ""price"": 93.71}, {""sku"": ""SKU009"", ""qty"": 3, ""price"": 84.74}, {""sku"": ""SKU136"", ""qty"": 1, ""price"": 108.83}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-529074,2026/02/16 00:31,SP01,Summit Cafe,G38336,660.58,sar99.09,0,CARD,2,"[{""sku"": ""SKU067"", ""qty"": 3, ""price"": 87.29}, {""sku"": ""SKU004"", ""qty"": 3, ""price"": 76.15}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-791826,2026-03-05T17:16:07Z,SP01,Peak Restaurant,NA,SAR 197,VAT: 29.50,,CARD,three,,pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-700202,2026-02-12 08:31:39,SP-01,Summit Cafe,,SAR 599,SAR 90,,Card,5,,pos_raw_20260301_10.csv,2026-03-03 07:22:42
T-883853,2026-03-29T03:16:24Z,SP01,Spa Lounge,G88419,SAR 720,SAR 108,,Card,5,"[{""sku"": ""SKU027"", ""qty"": 2, ""price"": 27.24}, {""sku"": ""SKU064"", ""qty"": 1, ""price"": 32.5}, {""sku"": ""SKU094"", ""qty"": 1, ""price"": 38.29}, {""sku"": ""SKU004"", ""qty"": 1, ""price"": 101.96}, {""sku"": ""SKU016"", ""qty"": 1, ""price"": 59.56}]",pos_raw_20260301_10.csv,2026-03-03 07:22:42
