booking_id,guest_ref,property_code,room_code,rateplan_code,channel,booking_status,checkin_date_raw,checkout_date_raw,booked_at_raw,currency,total_amount_raw,discount_raw,tax_raw,adults_raw,children_raw,special_requests,cancellation_reason,source_file,ingested_at
BK-113347,G05076,SOUDAH_1,118,FLEX,OTA - Booking,CONFIRMED,13-03-2026,2026-03-16,05-02-2026 02:49 AM,SAR,"VAT: SAR 3,965.56",0.00,SAR 517.25,1,four, airport pickup ,,bookings_raw_20260301.csv,2026-03-03 07:22:42
 BK-001774 ,g-70576,SOUDAH_1,DLX-51,FLEX2026,Travel Agent,CONFIRMED,"May 04, 2026",09/05/26,2026/03/26 03:46,SAR,"6,696.95",0%,873.52,2,2,Extra pillows,,bookings_raw_20260301.csv,2026-03-03 07:22:42
 BK-224083 ,g-96464,soudah-01,STE-163,ADV,Expedia,CONFIRMED,Feb 02 2026,Feb 03 2026,2026-01-29 06:09:00,SAR,SAR1473.71,0%,192.22,1,two,Late check-in,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK-962038,G-59830,soudah-01, STE-144 , flex ,booking.com,CONFIRMED,08-05-2026,"May 14, 2026",2026-04-17 17:28:00,SR,8539.59,0%,SAR 1114,2,four,,,bookings_raw_20260301.csv,2026-03-03 07:22:42
 BK-346955 ,G-54497,SP01,STE-198,ADV,Expedia,CONFIRMED,"February 20, 2026","February 27, 2026",2026/01/01 11:19,SR,SR15395.83,0%,SR2008.15,4,0,,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK-695206, G-84247 ,SP01,67,FLEX,Direct,CANCELLED,2026-02-16,2026-02-20,2026-02-05 13:16:00,SAR,6412.32,0%,836.39,2,2,Extra pillows,changed plans,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK-784257,G21466,SP01, STE-80 ,FLEX,booking.com,CONFIRMED,"April 13, 2026",2026-04-19,2026/03/30 20:15,sar,13372.29,0%,sar1744.21,3,1,Late check-in,,bookings_raw_20260301.csv,2026-03-03 07:22:42
bk-682055,G-70540,SOUDAH_1,152,ADV,Direct,CANCELLED,21/04/26,27-04-2026,01-02-2026 02:36 PM,SAR,SAR 3452,,450.20,4,3,High floor,family emergency,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK-831451,g-38567,SP01,DLX149,FLEX,booking.com,CONFIRMED,"May 10, 2026",13/05/26,2026/03/31 14:17,SAR,SAR 5907,0.00,770.51,3,0,,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK047727,G-72530,soudah-01,DLX-193, flex ,OTA - Booking,CONFIRMED,27/03/26,28/03/26,24-01-2026 01:16 AM +0000,sar,1132.73,14%,SAR 148,4,3,Late check-in,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK639245,G13007,SP01,170,FLEX,Direct,CONFIRMED,2026-04-29,02/05/26,2026-02-27 22:38:00,SAR,SAR 3292,0%,429.38,2,2,Allergy: nuts,,bookings_raw_20260301.csv,2026-03-03 07:22:42
bk-318863, G-35684 ,SP01,VIL11, flex ,Direct,CONFIRMED,"March 31, 2026",Apr 07 2026,2026-03-28 18:37:00,SAR,SAR6206.63,16%,SAR 809.56,3,2,Allergy: nuts,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK694770, G-99681 ,SP01, DLX-83 ,ADV,Expedia,CONFIRMED,Jun 14 2026,2026-06-15,2026-04-22 17:29:00,SAR,SAR1245.58,NULL,162.47,3,0,,,bookings_raw_20260301.csv,2026-03-03 07:22:42
 BK-118973 ,g-15397,SP-01,STE75,FLEX,OTA - Booking,CONFIRMED,19-04-2026,Apr 21 2026,28-02-2026 05:09 PM,SR,"SR 3,080.67",0.00,SR401.83,4,3,Late check-in,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK197817,g-31301,SOUDAH_1, DLX-12 ,ADV,Expedia,CONFIRMED,May 29 2026,2026-05-30,2026/03/26 20:09 +0000,SAR,SAR2460.27,0.00,SAR 320.91,4,3,Late check-in,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK-930547,G-70913,soudah-01,VIL-74,FLEX,Direct,CONFIRMED,14-05-2026,20-05-2026,2026-04-22 03:28:00,SAR,SAR3454.54,0.00,450.59,4,1,Late check-in,,bookings_raw_20260301.csv,2026-03-03 07:22:42
bk-481895,G01232,SP01, DLX-140 ,FLEX2026,Corporate,CONFIRMED,24/04/26,May 01 2026,24-02-2026 10:16 PM,SAR,"VAT: SAR 17,701.18",0.00,2308.85,1,2,Late check-in,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK-840887,g-83443,SOUDAH_1,197, flex ,Travel Agent,CONFIRMED,Apr 25 2026,28/04/26,09-02-2026 02:02 PM,sar,"sar 2,096.68",0%,sar273.48,3,0,,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK790786,G-88648,SP-01,STE-206,ADV,Direct,CONFIRMED,26/05/26,May 29 2026,28-02-2026 11:43 AM,SAR,"6,517.84",0.00,SAR 850.15,1,2,Late check-in,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK246206,G-17782,SP-01, VIL-179 , flex ,booking.com,CANCELLED,27/05/26,01-06-2026,25-03-2026 03:53 AM,SAR,"VAT: SAR 10,878.11",11%,SAR1418.88,2,three,Allergy: nuts,family emergency,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK255401,g-74001,soudah-01,151,FLEX,Direct,CANCEL,20-01-2026,22/01/26,2026-01-01T08:54:00Z,SAR,3484.33,18%,454.48,3,1,High floor,Price,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK821274, G-86364 ,SP-01, VIL-16 ,FLEX,Direct,CONFIRMED,"March 09, 2026","March 12, 2026",2026/02/26 02:57,SAR,SAR 1949,0.00,254.22,2,3,,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK-436197,G-40967,SP01, STE-40 ,FLEX,Expedia,CONFIRMED,02-03-2026,2026-03-09,2026/01/13 23:47,SAR,4467.48,0.00,SAR 583,2,0, airport pickup ,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK-120466,g-75249,soudah-01,STE-197, flex ,OTA - Booking,CONFIRMED,Apr 04 2026,2026-04-11,2026-01-04T05:17:00Z,SAR,SAR 6892,18%,SAR 898.95,3,0, airport pickup ,,bookings_raw_20260301.csv,2026-03-03 07:22:42
bk-791084,G-88339,SP01,DLX156,FLEX,OTA - Booking,CONFIRMED,2026-04-12,2026-04-17,2026-01-15 09:43:00,SAR,"SAR 8,284.07",11%,SAR1080.53,4,one, airport pickup ,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK-457410,G10206,soudah-01,STE182,FLEX,Direct,CONFIRMED,2026-07-11,Jul 14 2026,13-04-2026 07:29 PM,SAR,"5,731.03",800.04,747.53,3,1, airport pickup ,,bookings_raw_20260301.csv,2026-03-03 07:22:42
bk-206855,G-20037,SP01, STE-198 ,ADV,Expedia,CONFIRMED,2026-07-20,Jul 25 2026,29-04-2026 06:41 PM,SAR,VAT: SAR 12358,0.00,VAT: SAR1611.90,3,0,Allergy: nuts,,bookings_raw_20260301.csv,2026-03-03 07:22:42
bk-485189,G96852,SOUDAH_1, DLX-167 ,FLEX,Corporate,CONFIRMED,"April 25, 2026","April 30, 2026",14-04-2026 10:45 AM,SAR,"SAR 2,981.37",0.00,388.87,one,3,Allergy: nuts,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK688458,G78998,soudah-01,VIL37,FLEX2026,booking.com,CONFIRMED,"April 27, 2026",2026-05-02,2026/03/18 22:05,SAR,10553.60,0%,SAR1376.56,2,0,,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK774525,g-04948,soudah-01,153,FLEX,booking.com,CONFIRMED,Jun 22 2026,23/06/26,26-04-2026 05:46 AM,SAR,SAR1659.57,12%,SAR 216,4,3,Extra pillows,,bookings_raw_20260301.csv,2026-03-03 07:22:42
bk-840182,G-32769,SP01,STE-27,FLEX,Expedia,CONFIRMED,2026-06-21,Jun 22 2026,26-04-2026 04:09 PM,SR,964.35,0%,SR 125.78,four,1,Extra pillows,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK-645240,G-10385,SP01, STE-187 ,FLEX,Direct,CONFIRMED,"March 30, 2026","April 06, 2026",2026-01-07 07:26:00,SAR,"SAR 4,507.30",0.00,SAR587.91,1,0,Allergy: nuts,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK-666550,NA,SP01,STE-188,ADV,booking.com,CONFIRMED,Feb 19 2026,26/02/26,2026-01-06T11:34:00Z,SAR,VAT: SAR15320.53,0%,1998.33,3,3,,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK-200387,G06266,SP01, DLX-95 ,ADV,Travel Agent,CONFIRMED,Mar 29 2026,2026-04-01,2026-01-24 15:44:00,SR,"SR 4,687.63",0%,SR611.43,4,three,,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK644719,g-35987,SP01,STE172,FLEX,booking.com,CONFIRMED,23-03-2026,Mar 29 2026,2026-01-04T04:54:00Z,sar,sar2937.27,17%,SAR 383,3,NA,Extra pillows,,bookings_raw_20260301.csv,2026-03-03 07:22:42
 BK-523286 ,G-73620,SOUDAH_1,VIL55,ADV,Corporate,CONFIRMED,10-02-2026,2026-02-16,18-01-2026 02:28 AM,SAR,"4,165.07",0.00,SAR 543.27,1,NULL,Extra pillows,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK-490111,G-72306,SP01, VIL-102 ,FLEX,Expedia,CANCELLED,03/04/26,04/04/26,2026-01-10T04:20:00Z,SAR,SAR 1886,0%,246.03,3,2, airport pickup ,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK-559393,g-84016,SP01,STE169,ADV,OTA - Booking,CANCELLED,2026-03-28,Apr 04 2026,04-01-2026 02:02 AM,SAR,"SAR 12,795.29",0.00,"SAR 1,668.95",1,3,Allergy: nuts,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK327767,G-41854,SP-01,STE-34,FLEX,OTA - Booking,CONFIRMED,08-02-2026,"February 11, 2026",2026-02-01 04:06:00,SR,SR6769.89,0%,VAT: SR883.03,4,1,High floor,,bookings_raw_20260301.csv,2026-03-03 07:22:42
 BK-295024 ,g-85756,SP01,DLX28,ADV,Expedia,CONFIRMED,"May 04, 2026",06-05-2026,2026-02-21T01:36:00Z,SAR,2196.62,0.00,SAR 286.52,2,two,Allergy: nuts,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK-748256, G-62095 ,SP-01,DLX36,FLEX,Corporate,cnf,2026-04-14,21-04-2026,2026-02-08T18:21:00Z,SAR,SAR 10523,0.00,1372.59,3,1,Allergy: nuts,,bookings_raw_20260301.csv,2026-03-03 07:22:42
 BK-178795 ,g-94527,SP01,DLX-175,FLEX,Direct,CONFIRMED,2026-04-16,21/04/26,22-02-2026 10:13 PM,sar,sar11850.24,0%,SAR 1546,3,2,,,bookings_raw_20260301.csv,2026-03-03 07:22:42
bk-258495,g-39125,SP01, STE-74 ,FLEX,Direct,CANCEL,19/05/26,20-05-2026,2026-04-12T23:17:00Z,SAR,SAR1610.67,0.00,SAR 210,3,1,Allergy: nuts,weather,bookings_raw_20260301.csv,2026-03-03 07:22:42
bk-556838,G-30519,SOUDAH_1,26,FLEX,OTA - Booking,CANCEL,2026-04-24,"April 28, 2026",2026-02-22T20:59:00Z,SAR,"8,155.08",0.00,1063.71,4,NA,Extra pillows,Price,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK973556, G-37299 ,soudah-01, VIL-35 ,FLEX,Expedia,CONFIRMED,07/05/26,13/05/26,2026/04/04 14:41,SAR,SAR 12000,0%,"1,565.17",four,1, airport pickup ,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK-345638,g-94750,SP01,DLX-61,FLEX,Direct,CONFIRMED,08/06/26,14/06/26,2026/04/29 22:49,SAR,SAR 14167,0.00,SAR 1848,2,0, airport pickup ,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK-379359,G-73947,SP-01,52,FLEX,Travel Agent,CONFIRMED,12/06/26,"June 16, 2026",2026-03-29T06:45:00Z,SAR,"SAR 6,178.52",0%,805.89,1,0,Allergy: nuts,,bookings_raw_20260301.csv,2026-03-03 07:22:42
 BK-979135 ,G-37630,SOUDAH_1, STE-187 ,FLEX,Travel Agent,CONFIRMED,09/05/26,"May 15, 2026",2026-04-28 12:24:00,S.A.R,"11,218.57",2127.53,S.A.R1463.29,4,1,Late check-in,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK197637,G-95031,soudah-01,STE-158,FLEX,Direct,CONFIRMED,06/03/26,"March 08, 2026",2026-02-27 19:43:00,sar,SAR 2435,190.61,sar 317.60,2,3,Late check-in,,bookings_raw_20260301.csv,2026-03-03 07:22:42
bk-994596,G96366,SP01,DLX127,FLEX2026,booking.com,CANCELLED,04-04-2026,06/04/26,2026-02-10T22:26:00Z,SAR,SAR1775.11,0%,231.54,1,0,High floor,changed plans,bookings_raw_20260301.csv,2026-03-03 07:22:42
bk-054041,g-88300,SP01,206,FLEX,Travel Agent,CONFIRMED,"May 22, 2026",28/05/26,2026-04-27 00:13:00,SAR,"SAR 15,174.83",0.00,"SAR 1,979.33",4,3,High floor,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK-212995,G-54255,SOUDAH_1, DLX-5 ,FLEX,Direct,CONFIRMED,May 24 2026,May 30 2026,14-03-2026 07:31 AM,SR,SAR 7181,0.00,936.66,1,0,Allergy: nuts,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK-242676,G-19796,SP01, STE-159 ,ADV,Direct,CONFIRMED,May 01 2026,07/05/26,2026-02-22T00:01:00Z,SAR,"12,344.27",2229.39,"SAR 1,610.12",1,1,,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK-717270,g-10567,SOUDAH_1, DLX-24 , flex ,Direct,CONFIRMED,"March 19, 2026",2026-03-25,2026/01/22 02:31,sar,9937.72,0%,1296.22,two,1,Late check-in,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK417644,g-39227,SOUDAH_1,STE100,FLEX,booking.com,CANCELLED,"June 03, 2026","June 09, 2026",2026/03/30 23:05,S.A.R,"VAT: S.A.R 3,753.38",0%,S.A.R489.57,4,3,Late check-in,weather,bookings_raw_20260301.csv,2026-03-03 07:22:42
bk-836822,G-09635,SOUDAH_1, DLX-163 ,FLEX,Direct,CONFIRMED,"March 16, 2026",Mar 17 2026,2026-02-09T14:23:00Z,SAR,894.63,0.00,116.69,4,1, airport pickup ,,bookings_raw_20260301.csv,2026-03-03 07:22:42
bk-399227,G-35248,SP01,DLX112,FLEX,Direct,CONFIRMED,06-04-2026,"April 11, 2026",01-02-2026 11:40 PM,SAR,SAR6827.69,319.17,890.57,2,3,Allergy: nuts,,bookings_raw_20260301.csv,2026-03-03 07:22:42
bk-728717,G-75482,SP01,DLX-202,FLEX2026,Direct,HOLD,05-04-2026,2026-04-06,2026/01/24 21:49,S.A.R,"1,446.51",0%,S.A.R188.68,1,3,Allergy: nuts,,bookings_raw_20260301.csv,2026-03-03 07:22:42
bk-911878,G-71257,SOUDAH_1,STE-208,FLEX,Direct,CONFIRMED,Jan 28 2026,2026-02-02,22-01-2026 08:39 PM,S.A.R,SAR 9405,0.00,"S.A.R 1,226.68",NA,2,Extra pillows,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK-121708,G-95703,SP01,STE53,FLEX,Direct,CONFIRMED,16/02/26,23/02/26,2026-02-10 02:19:00,sar,sar3940.67,0%,514.00,4,1,Late check-in,,bookings_raw_20260301.csv,2026-03-03 07:22:42
bk-004667,g-26973,SOUDAH_1,148,FLEX,Direct,CONFIRMED,17-06-2026,Jun 20 2026,27-03-2026 03:33 PM,SAR,SAR 5243,0%,SAR 683.91,3,3,Extra pillows,,bookings_raw_20260301.csv,2026-03-03 07:22:42
bk-443589, G-83297 ,SP-01, STE-45 ,FLEX,Direct,CANCELLED,May 06 2026,May 07 2026,2026/03/21 01:55,SAR,SAR910.20,NA,VAT: SAR 118.72,2,3, airport pickup ,,bookings_raw_20260301.csv,2026-03-03 07:22:42
 BK-519374 ,g-14839,soudah-01,STE-94,ADV,Direct,CONFIRMED,May 19 2026,2026-05-26,2026-02-24 03:47:00,SAR,SAR 14520,1239.97,SAR1893.97,2,0,Late check-in,,bookings_raw_20260301.csv,2026-03-03 07:22:42
 BK-625851 ,G42422,soudah-01,STE-220,FLEX,Expedia,CONFIRMED,Apr 02 2026,Apr 04 2026,08-01-2026 08:55 AM,sar,sar1414.82,134.14,184.54,3,3,High floor,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK002594,G-96040,soudah-01,DLX-179,ADV,Direct,HOLD,May 21 2026,24-05-2026,2026-04-16T06:31:00Z,sar,VAT: sar3591.70,0.00,VAT: sar468.48,4,1, airport pickup ,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK916900,G-35917,SP01,171,FLEX,OTA - Booking,cnf,"June 30, 2026",01/07/26,2026/04/07 07:27 GMT,sar,sar 519.69,0.00,67.79,2,0,High floor,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK-313792,G98718,soudah-01,STE-18, flex ,Direct,CONFIRMED,2026-02-17,"February 21, 2026",28-01-2026 08:47 PM,SAR,"SAR 4,592.30",18%,599.00,3,2,High floor,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK-197811,g-38738,SOUDAH_1,DLX-62,FLEX,OTA - Booking,CONFIRMED,04/06/26,Jun 06 2026,2026-04-24T00:23:00Z,SAR,VAT: 4411.87,0%,SAR575.46,4,1, airport pickup ,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK536142, G-20366 ,soudah-01,STE-214,FLEX,Direct,HOLD,12/02/26,2026-02-16,2026-01-31 01:15:00,SAR,"5,949.76",15%,SAR 776.06,2,NULL,,,bookings_raw_20260301.csv,2026-03-03 07:22:42
 BK-285193 ,g-34466,SP01,STE-117,FLEX,OTA - Booking,CONFIRMED,2026-04-17,23/04/26,02-02-2026 03:57 AM,sar,"5,862.98",NA,sar764.74,2,2,Late check-in,,bookings_raw_20260301.csv,2026-03-03 07:22:42
 BK-125201 ,g-06904,SP-01, DLX-103 ,ADV,Expedia,CONFIRMED,14/01/26,Jan 17 2026,2026/01/12 17:29,SAR,"4,956.48",0.00,VAT: 646.50,,2, airport pickup ,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK010061,G-00192,SOUDAH_1,79,FLEX,Corporate,HOLD,31-01-2026,Feb 01 2026,2026-01-19T22:17:00Z,SR,SAR 2323,0.00,VAT: SAR 303,2,2,,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK-872311, G-41689 ,SP-01,STE-35,FLEX,Direct,CONFIRMED,2026-04-09,16/04/26,22-02-2026 03:34 AM,SAR,VAT: SAR 7966,0.00,1039.02,3,2,Late check-in,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK032592, G-59271 ,SP01,27,FLEX,Direct,CANCELLED,2026-03-22,25/03/26,2026/01/29 04:12,SAR,6218.29,865.06,811.08,1,3,Late check-in,Price,bookings_raw_20260301.csv,2026-03-03 07:22:42
bk-447390,G28144,SP01,39, flex ,OTA - Booking,CANCELLED,"April 08, 2026",2026-04-12,03-03-2026 01:05 AM,SAR,SAR3675.64,0.00,SAR 479.43,NULL,0, airport pickup ,changed plans,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK-374796,G30509,soudah-01,STE-69,ADV,Travel Agent,CONFIRMED,"May 06, 2026",2026-05-08,13-04-2026 12:22 PM,SAR,SAR 2315,0.00,SAR301.95,2,NULL,Extra pillows,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK-000717,g-80496,SOUDAH_1,STE206,FLEX,Direct,CONFIRMED,Mar 28 2026,"April 04, 2026",19-01-2026 03:54 AM,SAR,"4,644.29",0%,SAR605.78,2,2,,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK-183870,g-96207,SOUDAH_1, VIL-180 ,ADV,Expedia,CONFIRMED,2026-04-13,15/04/26,24-01-2026 07:20 PM,SAR,1454.04,0.00,SAR 189.66,3,2,Extra pillows,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK-001344,G-57439,SP-01,VIL127,FLEX,Direct,CONFIRMED,2026-07-18,20-07-2026,2026-04-21T18:41:00Z,SAR,"1,331.68",0%,173.70,4,1,Extra pillows,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK-056158,G26942,soudah-01,STE187,FLEX,Direct,CONFIRMED,"March 19, 2026",Mar 22 2026,2026-03-12T15:09:00Z,SAR,"SAR 2,081.56",0%,SAR271.51,3,1,,,bookings_raw_20260301.csv,2026-03-03 07:22:42
 BK-195647 , G-34511 ,SOUDAH_1,DLX-145,FLEX,Direct,CONFIRMED,Jun 17 2026,"June 18, 2026",2026/04/07 18:14,sar,sar2164.54,0.00,SAR 282,2,1, airport pickup ,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK-222183,G-16540,soudah-01,52,ADV,Direct,CANCEL,"June 17, 2026","June 22, 2026",2026/04/28 02:05 +0000,SAR,"5,869.15",0.00,765.54,1,2,Allergy: nuts,Price,bookings_raw_20260301.csv,2026-03-03 07:22:42
 BK-686595 , G-79818 ,SP01, STE-159 ,FLEX,Travel Agent,CONFIRMED,02-04-2026,05-04-2026,2026-01-31T01:47:00Z,SR,"1,674.66",0.00,SR 218.43,4,3,Extra pillows,,bookings_raw_20260301.csv,2026-03-03 07:22:42
 BK-776937 ,G67699,soudah-01, DLX-41 ,FLEX,Travel Agent,CANCELLED,30-01-2026,Feb 06 2026,2026-01-04T05:12:00Z,SAR,"3,662.97",369.93,SAR477.78,3,2,High floor,weather,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK-298917,g-06508,SP-01,220,ADV,Direct,CONFIRMED,05-03-2026,Mar 07 2026,03-01-2026 09:00 PM,SAR,"3,151.08",263.93,SAR411.01,1,2,Extra pillows,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK-296409, G-14170 ,SP01,VIL84,ADV,Corporate,CONFIRMED,25-02-2026,26/02/26,2026/01/25 04:33,sar,"sar 2,132.26",0%,SAR 278,2,3,,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK-531959,G-22281,SP01,DLX25,ADV,OTA - Booking,CANCEL,10-04-2026,"April 12, 2026",2026-03-29T10:41:00Z,SAR,SAR 4030,0.00,525.71,4,1,Extra pillows,weather,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK429069,g-59975,SP01,21,FLEX,Direct,CONFIRMED,Feb 17 2026,Feb 21 2026,2026/01/27 05:36 GMT,sar,"7,386.63",835.11,SAR 963,1,2,Allergy: nuts,,bookings_raw_20260301.csv,2026-03-03 07:22:42
bk-527787,G-21892,SP-01,STE117,FLEX,booking.com,CONFIRMED,21/05/26,23/05/26,2026-04-26T15:22:00Z,SR,"4,730.78",0.00,SR617.06,3,0,High floor,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK-020701,G-15177,soudah-01,122,ADV,OTA - Booking,CONFIRMED,"June 01, 2026","June 04, 2026",2026-03-26T03:42:00Z,SAR,SAR5783.14,0%,SAR 754,3,0,Late check-in,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK721635,,SP01,147,FLEX2026,Expedia,CONFIRMED,2026-05-06,2026-05-12,2026-04-03T03:57:00Z,SAR,"SAR 15,043.14",0%,1962.15,two,1,Allergy: nuts,,bookings_raw_20260301.csv,2026-03-03 07:22:42
bk-652012,G-96085,SP01, DLX-103 ,FLEX,Direct,CANCELLED,May 05 2026,"May 06, 2026",2026/04/13 13:41,SAR,SAR1979.40,0.00,258.18,4,three,High floor,Price,bookings_raw_20260301.csv,2026-03-03 07:22:42
bk-012961, G-88858 ,SOUDAH_1,VIL58,FLEX,booking.com,CONFIRMED,"March 29, 2026",2026-04-02,2026-02-25 21:46:00,SAR,SAR7514.18,0.00,SAR980.11,3,1, airport pickup ,,bookings_raw_20260301.csv,2026-03-03 07:22:42
bk-856795, G-60175 ,SP01,DLX-128,FLEX2026,booking.com,CONFIRMED,04-05-2026,"May 09, 2026",2026/02/21 13:02,SAR,"SAR 3,502.14",0.00,SAR 456.80,4,3, airport pickup ,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK-232519,G-46549,SP01,DLX-134,FLEX,Direct,CONFIRMED,May 25 2026,26/05/26,2026-04-02T23:46:00Z,SAR,749.65,140.99,SAR97.78,NA,3,High floor,,bookings_raw_20260301.csv,2026-03-03 07:22:42
BK-533026,g-23227,SOUDAH_1,DLX27,FLEX,Direct,HOLD,30/05/26,Jun 02 2026,28-04-2026 10:48 PM,SAR,SAR 3623,0.00,472.50,3,1,High floor,,bookings_raw_20260301.csv,2026-03-03 07:22:42
 BK-186451 ,g-91005,SOUDAH_1, DLX-144 ,ADV,Travel Agent,CONFIRMED,25/04/26,30-04-2026,2026-04-23 13:51:00,SAR,"SAR 6,044.50",326.53,SAR788.41,2,1,Extra pillows,,bookings_raw_20260301.csv,2026-03-03 07:22:42
