payment_id,booking_id,paid_at_raw,payment_method,payment_status,amount_raw,fee_raw,refund_amount_raw,gateway_ref,notes,source_file,ingested_at
pay-843780,bk-168462,2026-02-07 00:17:00,AMEX,SUCCESS,SAR 2448,SAR 14.53,,STRIPE_INUP7LTD58K0,advance,payments_raw_20260301.csv,2026-03-03 07:22:42
pay-057921,bk-695025,2026-05-15 20:56:00 GMT,Card,SUCCESS,SAR 1111,2.2%,0,STRIPE_7KBGJH9DSPHL,,payments_raw_20260301.csv,2026-03-03 07:22:42
 PAY-667076 ,bk-695025,2026-05-15 21:13:00,cash,SUCCESS,2166.20,0.5%,0,STRIPE_T2UTZMRTR11M,refund initiated,payments_raw_20260301.csv,2026-03-03 07:22:42
 PAY-044782 ,BK812825,2026/05/17 04:30,visa card,SUCCESS,472.31,SAR 28.78,0.00,STRIPE_ULKD8WH98EFX,refund initiated,payments_raw_20260301.csv,2026-03-03 07:22:42
 PAY-333807 , BK244145 ,30-03-2026 06:21 PM,visa card,SUCCESS,"SR 1,706.26",5.41,0.00,STRIPE_S1WTL3JSE0K4,,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY452289,BK244145,2026/03/30 18:38,VISA,SUCCESS,VAT: 1574.37,1.8%,0.00,STRIPE_XG38DNJVPMVO,partial payment,payments_raw_20260301.csv,2026-03-03 07:22:42
 PAY-315227 ,bk-600201,2026-04-11T19:46:00Z,VISA,SUCCESS,"SAR 2,289.16",2.2%,,STRIPE_XOJOIXDBEPJN,partial payment,payments_raw_20260301.csv,2026-03-03 07:22:42
pay-282630,bk-702700,29-01-2026 05:04 AM,MASTERCARD,SUCCESS,336.43,8.57,0.00,STRIPE_LFB766ZFCK3Q,,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-787784,BK-595421,25-01-2026 03:20 PM,visa card,SUCCESS,VAT: sar672.73,SAR 29.80,0.00,STRIPE_ZCAO8ZRM2Z5X,,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY019022,BK-595421,2026-01-25 15:37:00,VISA,SUCCESS,"1,592.76",1.1%,,STRIPE_XKHIDFRD323C,,payments_raw_20260301.csv,2026-03-03 07:22:42
 PAY-912144 , BK-881002 ,2026-05-03 05:05:00,MASTERCARD,SUCCESS,"SAR 1,624.94",2.4%,NULL,STRIPE_6ZM2A8DDACYZ,,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-424385,bk-243731,2026-04-13 09:55:00,visa card,FAILED,SAR 302.88,22.18,0,STRIPE_J87ZGJYU619L,partial payment,payments_raw_20260301.csv,2026-03-03 07:22:42
pay-159764,bk-243731,13-04-2026 10:12 AM,visa card,SUCCESS,2462.51,0.9%,0,,,payments_raw_20260301.csv,2026-03-03 07:22:42
pay-364300,bk-157337,2026-03-19 22:04:00,VISA,S,SAR 352,4.19,0,STRIPE_CR82DPSUBFNI,refund initiated,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-915011, BK-102008 ,2026/04/14 14:26,Card,PENDING,SAR 1247,2.8%,0,STRIPE_0WM2HRFZIGXL,partial payment,payments_raw_20260301.csv,2026-03-03 07:22:42
pay-936604,bk-955070,2026/04/11 08:56,Apple Pay,SUCCESS,SAR1819.03,2.2%,,STRIPE_7VCNP91M7ZIF,partial payment,payments_raw_20260301.csv,2026-03-03 07:22:42
pay-952418, BK-746323 ,2026-02-25T19:37:00Z,Card,SUCCESS,2078.17,52.46,0.00,STRIPE_Z4AOOKPAK9SO,,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-378850, BK-059602 ,2026/01/27 08:57,VISA,SUCCESS,SAR 1799,SAR 18.71,,STRIPE_AI3SQPAFVF39,advance,payments_raw_20260301.csv,2026-03-03 07:22:42
pay-044697, BK338828 ,2026/02/28 05:20,Apple Pay,SUCCESS,SAR2477.01,SAR 8.36,,STRIPE_HV88V6BXZ9CF,refund initiated,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-661659,bk-471615,2026-01-28 10:03:00,AMEX,SUCCESS,211.39,1.2%,,STRIPE_HZ9949R1N9AW,advance,payments_raw_20260301.csv,2026-03-03 07:22:42
 PAY-145929 ,bk-471615,2026/01/28 10:20,cash,SUCCESS,SAR 1870,46.81,,STRIPE_LLODD0H7VSW5,refund initiated,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-759048,BK-267404,17-03-2026 02:39 PM +0530,VISA,SUCCESS,"SAR 1,291.32",SAR 33.52,,STRIPE_Y2GQCRFYXJST,refund initiated,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-273618, BK-267404 ,2026/03/17 14:56,MASTERCARD,SUCCESS,"SAR 1,749.09",17.31,,STRIPE_PW8UUG6BBR0L,partial payment,payments_raw_20260301.csv,2026-03-03 07:22:42
pay-792752,bk-036539,28-01-2026 09:40 PM,Card,SUCCESS,SR872.09,SAR 15.15,0,STRIPE_29ULEO7WUKJP,partial payment,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-281647,bk-036539,28-01-2026 09:57 PM,cash,SUCCESS,SAR 1298,1.2%,0,STRIPE_CCSAU3ER94XG,partial payment,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-003240,bk-793984,2026-01-13T08:04:00Z,MASTERCARD,SUCCESS,"2,432.51",70.07,0,STRIPE_WVG3ILD865Y2,advance,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-559213,bk-793984,2026-01-13 08:21:00 GMT,visa card,SUCCESS,SAR 1198,0.5%,NULL,STRIPE_BLGSVSG9H14X,partial payment,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-002576,bk-652012,2026/01/27 10:33,cash,SUCCESS,"SAR 2,127.46",1.0%,0,STRIPE_8F45EQZ5AVC6,partial payment,payments_raw_20260301.csv,2026-03-03 07:22:42
 PAY-833707 ,bk-652012,27-01-2026 10:50 AM,Apple Pay,SUCCESS,SAR 1033,SAR 27.76,0.00,STRIPE_JUH8XLOT52AC,refund initiated,payments_raw_20260301.csv,2026-03-03 07:22:42
 PAY-418645 , BK-229841 ,2026-03-01T03:35:00Z,Card,SUCCESS,2240.47,2.4%,,STRIPE_A36ADT87Q9TZ,,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-617747,BK-639917,2026-03-20 15:07:00,Apple Pay,SUCCESS,SAR778.67,9.06,,STRIPE_ODQMIFFU8FU7,partial payment,payments_raw_20260301.csv,2026-03-03 07:22:42
 PAY-526040 ,bk-288770,2026-04-22 08:27:00 +0000,cash,SUCCESS,VAT: 1494.92,2.4%,,STRIPE_28QR8UPUKFF2,,payments_raw_20260301.csv,2026-03-03 07:22:42
pay-557225,bk-288770,22-04-2026 08:44 AM,MASTERCARD,SUCCESS,1247.05,34.40,0.00,STRIPE_5T2QZKCTSQZU,partial payment,payments_raw_20260301.csv,2026-03-03 07:22:42
 PAY-370215 ,BK-875924,2026-02-08 09:06:00,AMEX,SUCCESS,"SAR 2,101.26",SAR 11.24,0,STRIPE_CR0R8CZQD28X,,payments_raw_20260301.csv,2026-03-03 07:22:42
pay-931450,BK111775,26-01-2026 05:34 PM,VISA,SUCCESS,sar2005.97,0.4%,,,,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY215769,BK111775,2026-01-26T17:51:00Z,Apple Pay,SUCCESS,"sar 2,379.01",11.02,,STRIPE_A0OMM66OZTJ9,refund initiated,payments_raw_20260301.csv,2026-03-03 07:22:42
pay-042268,BK734390,2026-03-16 15:54:00,Apple Pay,SUCCESS,SAR 2042,51.99,,STRIPE_C11KVRV28HAA,refund initiated,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY278069,BK-133012,2026-01-17 18:52:00,MASTERCARD,PENDING,"2,308.76",SAR 32.64,0.00,STRIPE_CKBC2D93LM4Q,,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY226934,BK-662762,2026/01/22 16:35,MASTERCARD,SUCCESS,"SAR 1,995.16",SAR 26.03,0.00,STRIPE_O0P5LG0TFLWT,refund initiated,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-438571,BK-662762,2026-01-22 16:52:00,MASTERCARD,SUCCESS,SAR773.00,1.6%,0.00,STRIPE_MW5HEMO2C4JQ,,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-543043,bk-896490,2026-02-08T02:43:00Z,MASTERCARD,FAILED,51.93,24.1%,0,STRIPE_YXNS5SC2QS24,advance,payments_raw_20260301.csv,2026-03-03 07:22:42
 PAY-429282 ,BK-524063,26-02-2026 02:02 AM,MASTERCARD,S,2261.36,2.2%,,STRIPE_6EH1WDTN2SJ2,refund initiated,payments_raw_20260301.csv,2026-03-03 07:22:42
pay-594653,bk-595682,2026/04/27 02:36,cash,SUCCESS,515.52,20.59,0.00,STRIPE_UZ0E4GFCGIA8,refund initiated,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-527004, bk-950519 ,2026-04-28 15:32:00,cash,SUCCESS,VAT: SAR 1792,SAR 12.52,,STRIPE_83D23TUGYXGE,refund initiated,payments_raw_20260301.csv,2026-03-03 07:22:42
 PAY-589462 ,bk-950519,2026-04-28 15:49:00 +0000,VISA,SUCCESS,sar1127.82,2.0%,0,STRIPE_MTKCLECRGGI1,advance,payments_raw_20260301.csv,2026-03-03 07:22:42
pay-483622, BK-809641 ,2026/01/17 05:37,VISA,PENDING,201.60,SAR 2.78,,STRIPE_U597TXB9EXLA,advance,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-622179,BK-809641,2026/01/17 05:54,AMEX,SUCCESS,sar703.74,SAR 29.20,0.00,STRIPE_OR4HNJLIDR6B,refund initiated,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY083140,BK-948249,29-04-2026 06:49 AM,Apple Pay,SUCCESS,"SAR 1,642.89",1.0%,0,,,payments_raw_20260301.csv,2026-03-03 07:22:42
 PAY-780208 ,BK460324,10-03-2026 10:43 PM,visa card,SUCCESS,"1,351.26",SAR 8.11,0,STRIPE_9HYSVPD6F59M,refund initiated,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY469441,BK-243260,2026-05-17 15:52:00,VISA,SUCCESS,SAR2217.97,1.2%,0.00,STRIPE_MH7SQLXKRYQE,advance,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-955753,BK-142131,14-01-2026 09:12 PM GMT,VISA,SUCCESS,SAR 1143,1.2%,,STRIPE_QMX4BPIWD5MP,refund initiated,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-479844,BK118090,28-04-2026 06:20 PM,VISA,S,SAR771.85,SAR 7.83,0,STRIPE_BQ9IY8G4DU19,,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY628096,BK-913148,2026-02-21T13:34:00Z,VISA,SUCCESS,VAT: 1654.07,19.18,SAR 404.15,STRIPE_U2AECZ60NI10,partial payment,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-844520,BK-379359,2026-04-09 19:10:00 +0000,VISA,SUCCESS,SAR857.47,SAR 15.92,0.00,STRIPE_QNXTXT5IYBAA,advance,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY218456, BK-654837 ,15-05-2026 02:00 AM,MASTERCARD,SUCCESS,SAR 1150,2.2%,0.00,STRIPE_FEAKLSSZ71E2,advance,payments_raw_20260301.csv,2026-03-03 07:22:42
pay-915046,BK-134476,2026-05-02 05:32:00,cash,SUCCESS,"1,641.51",2.1%,,STRIPE_7NIFGNPGR8P8,refund initiated,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-059566,BK-980317,2026/01/10 17:36,visa card,SUCCESS,"SAR 2,308.59",SAR 23.79,0.00,STRIPE_0IYBN1SX4RG2,advance,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-029809,  BK-423742  ,2026/03/22 13:03,MASTERCARD,SUCCESS,207.74,9.7%,,STRIPE_MIXZNWMNGSN3,partial payment,payments_raw_20260301.csv,2026-03-03 07:22:42
pay-761946,BK-688225,2026-05-13T14:34:00Z,Card,S,"VAT: sar 1,965.09",SAR 23.38,0.00,STRIPE_D54PTV3CL7OJ,refund initiated,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-328155,  BK-975542  ,10-03-2026 05:11 PM,visa card,SUCCESS,S.A.R1981.19,SAR 28.21,,STRIPE_ARTIRQQU8TWL,refund initiated,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-939301,BK-425223,2026/04/01 01:33,Apple Pay,SUCCESS,SAR2289.09,SAR 42.51,0.00,STRIPE_MFGRCI7JYYLS,advance,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-052980, BK-942496 ,01-05-2026 12:28 AM,VISA,SUCCESS,S.A.R2475.54,SAR 19.31,0,STRIPE_K7Y6CNSGV3Q3,,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-670533, BK-329596 ,2026-01-04 13:12:00,VISA,PENDING,"2,113.16",2.3%,0,STRIPE_KZ82QTF7T5RI,refund initiated,payments_raw_20260301.csv,2026-03-03 07:22:42
 PAY-461956 , BK-643859 ,12-01-2026 09:35 PM,cash,SUCCESS,SAR 679,11.56,0.00,NA,,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-489196, BK-643859 ,2026-01-12 21:52:00,Card,SUCCESS,SAR2147.46,SAR 64.18,0.00,STRIPE_R7JDJWJCEKA5,,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-593430,BK306807,10-01-2026 11:01 AM,MASTERCARD,SUCCESS,"VAT: SAR 1,658.24",SAR 23.49,,STRIPE_NC3HPZNYOYD4,,payments_raw_20260301.csv,2026-03-03 07:22:42
pay-502448,BK-959860,2026-03-11T06:57:00Z,Card,SUCCESS,"1,306.09",2.6%,0,STRIPE_SUVDED7CG0FX,,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-534565,BK-962038,2026/03/21 20:26,Apple Pay,SUCCESS,SAR1805.56,43.59,,STRIPE_WJXRJOQKTDVX,,payments_raw_20260301.csv,2026-03-03 07:22:42
 PAY-911486 ,BK-636179,2026-02-07T18:07:00Z,Card,SUCCESS,SAR 913,2.6%,744.32,STRIPE_DU0UPYW6J872,,payments_raw_20260301.csv,2026-03-03 07:22:42
pay-527706,  BK-355278  ,2026/04/06 00:43,cash,PENDING,SAR2396.93,0.4%,0,STRIPE_SLDD3TH2PI75,refund initiated,payments_raw_20260301.csv,2026-03-03 07:22:42
 PAY-798126 ,BK-719729,2026-02-25 12:00:00 GMT,cash,PENDING,SAR 2469,SAR 57.85,,STRIPE_QRD04W6YB7XO,,payments_raw_20260301.csv,2026-03-03 07:22:42
pay-862280,BK-719729,2026/02/25 12:17,VISA,S,SAR891.78,SAR 26.46,0.00,STRIPE_07GT54R6Z2RB,,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-346100,BK-847692,2026-01-23 09:02:00,cash,SUCCESS,"1,452.98",SAR 16.89,,STRIPE_AKQSJU8W644U,,payments_raw_20260301.csv,2026-03-03 07:22:42
pay-582164,BK-847692,2026/01/23 09:19,MASTERCARD,SUCCESS,VAT: SAR628.80,2.6%,0.00,STRIPE_RFER6693PVED,,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY867250,bk-868258,07-04-2026 04:37 AM,Card,SUCCESS,"2,248.80",2.9%,,STRIPE_VHFVQS8ZZB5J,,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-322824, BK-610714 ,2026/03/15 20:33,VISA,SUCCESS,2315.16,1.2%,439.66,STRIPE_6JNAA557JER2,advance,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-301882,BK814596,2026-04-10T23:06:00Z,Apple Pay,SUCCESS,S.A.R2204.16,SAR 60.54,0,STRIPE_R1D0KPVM1N33,,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-640454,BK814596,2026-04-10T23:23:00Z,VISA,FAILED,S.A.R 486.26,3.8%,,STRIPE_H7HVVDANICTV,,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-717503,bk-682694,2026-05-15 11:34:00,MASTERCARD,SUCCESS,"1,756.01",1.9%,0,STRIPE_0K901R3MCYIV,refund initiated,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-636901,bk-682694,2026-05-15 11:51:00,AMEX,SUCCESS,"SR 1,206.46",2.1%,,STRIPE_SH6D7F7GDDI4,,payments_raw_20260301.csv,2026-03-03 07:22:42
pay-913405,BK-289612,2026-01-28 05:23:00,Apple Pay,SUCCESS,"2,105.64",SAR 24.64,,STRIPE_60RV6C6AL24A,refund initiated,payments_raw_20260301.csv,2026-03-03 07:22:42
 PAY-818856 ,BK-328026,2026-05-11T02:08:00Z,visa card,S,"1,522.11",SAR 21.85,,STRIPE_G6YPTZ9PFFUM,advance,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-900694,BK692032,2026/03/19 00:46,VISA,SUCCESS,SAR1841.37,25.79,0.00,STRIPE_Z9O5PXV00BWT,refund initiated,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-823488,BK692032,19-03-2026 01:03 AM +0000,MASTERCARD,SUCCESS,SAR 1800,18.51,0.00,STRIPE_WOC57HW7ZOG0,,payments_raw_20260301.csv,2026-03-03 07:22:42
pay-605957,BK-305146,2026/05/05 11:41,visa card,SUCCESS,"SAR 1,307.83",1.8%,0,STRIPE_QQ13DFI17YG6,partial payment,payments_raw_20260301.csv,2026-03-03 07:22:42
pay-555574, BK-526161 ,08-01-2026 11:00 AM,Card,SUCCESS,SR2360.91,SAR 42.59,0,NULL,,payments_raw_20260301.csv,2026-03-03 07:22:42
 PAY-918490 ,BK-695874,2026/01/15 06:21,VISA,SUCCESS,SAR1832.90,SAR 25.31,SAR 619,NA,refund initiated,payments_raw_20260301.csv,2026-03-03 07:22:42
pay-425333,BK206879,2026-01-27T17:55:00Z,MASTERCARD,SUCCESS,SAR 935.60,21.04,0,STRIPE_BMABXAXZ8PB1,refund initiated,payments_raw_20260301.csv,2026-03-03 07:22:42
 PAY-493858 ,BK-817962,2026-03-14 07:26:00,visa card,SUCCESS,"SAR 1,554.91",SAR 46.13,0.00,STRIPE_R5TMKFTVS5SZ,,payments_raw_20260301.csv,2026-03-03 07:22:42
pay-801398,bk-460196,2026-01-11 18:56:00,VISA,FAILED,410.74,25.76,0,STRIPE_Q80UJTO1UGJ2,refund initiated,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-533092, BK181763 ,2026-05-10 21:38:00,Apple Pay,SUCCESS,sar2291.28,0.3%,,STRIPE_3ZQGD98Y9WU1,partial payment,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-703058,BK181763,2026/05/10 21:55,MASTERCARD,SUCCESS,SAR 1295,2.6%,,STRIPE_DAI5K3FYVNSP,refund initiated,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY806465, BK-252160 ,2026-01-31T01:36:00Z,VISA,SUCCESS,"SAR 2,264.85",SAR 26.95,,STRIPE_BITPZP4QQ0HQ,,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-740794,BK261888,2026-01-21 21:35:00,VISA,SUCCESS,"VAT: SAR 1,778.80",1.9%,0,STRIPE_LWOINWZHKNBJ,advance,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-172561,BK-866371,2026-03-29T17:06:00Z,MASTERCARD,SUCCESS,1811.86,5.33,,STRIPE_2LQH9J4JN6FR,refund initiated,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-950608,BK383592,2026-03-07T17:14:00Z,MASTERCARD,PENDING,SAR 317,4.17,,,,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-484000, bk-986594 ,2026/01/04 03:53,visa card,SUCCESS,"1,806.24",SAR 47.52,,STRIPE_GT2JYSYY04TU,,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-848788, BK-380122 ,2026-01-23T20:16:00Z,VISA,SUCCESS,740.94,1.5%,0.00,STRIPE_PCNFHPNK34A6,partial payment,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY645360,BK859019,2026/04/26 02:13,MASTERCARD,SUCCESS,SAR 1682,SAR 47.56,0.00,NULL,refund initiated,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-704670,bk-816092,2026/03/03 05:34 +0000,Apple Pay,SUCCESS,SAR1754.71,1.6%,0.00,STRIPE_18Y46KJU1FJL,advance,payments_raw_20260301.csv,2026-03-03 07:22:42
 PAY-183582 , BK-094447 ,24-02-2026 06:22 PM,Card,SUCCESS,SAR 2252,33.36,0,STRIPE_KNPCRA0OVH80,advance,payments_raw_20260301.csv,2026-03-03 07:22:42
pay-003508,BK-434997,19-03-2026 10:49 AM,VISA,SUCCESS,SAR 1305,18.64,0,STRIPE_79MWS7H6VVNA,,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY028959,bk-189405,2026/05/13 14:24,VISA,SUCCESS,"VAT: 1,967.18",2.9%,0,STRIPE_VZYYNKYS0483,,payments_raw_20260301.csv,2026-03-03 07:22:42
pay-212308,bk-189405,2026-05-13T14:41:00Z,MASTERCARD,SUCCESS,SAR1891.37,SAR 23.25,,STRIPE_VRHWTD64XQHM,partial payment,payments_raw_20260301.csv,2026-03-03 07:22:42
pay-660568, BK-966143 ,2026/03/08 14:54,VISA,SUCCESS,SAR1214.68,SAR 33.27,,STRIPE_7805QS5D2JY1,refund initiated,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-842835,bk-857813,2026-04-29T17:31:00Z,MASTERCARD,SUCCESS,"2,083.39",2.2%,,STRIPE_6OER53SCA3BR,,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY151766, BK-334418 ,2026/02/14 10:03,visa card,SUCCESS,SAR 307,SAR 17.53,0.00,STRIPE_EGC8BI6N2NOZ,partial payment,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-761745, BK846197 ,2026/01/08 09:04,VISA,FAILED,SAR 377.04,6.3%,0,STRIPE_ST5HICQD41W7,,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY225514,BK-133631,12-03-2026 09:53 PM,VISA,PENDING,"VAT: SAR 1,993.17",SAR 43.71,0.00,STRIPE_35FBWNDNDE3S,refund initiated,payments_raw_20260301.csv,2026-03-03 07:22:42
PAY-982471,BK-133631,2026/03/12 22:10,cash,SUCCESS,"1,402.35",29.33,0,STRIPE_G2J7K7N5MVIB,,payments_raw_20260301.csv,2026-03-03 07:22:42
